Name,Percent,
Alabama,15.6,
Alaska,10.2,
Arizona,13.5,
Arkansas,16,
California,11.8,
Colorado,9.4,
Connecticut,9.9,
Delaware,11.2,
District of Columbia,14.1,
Florida,12.7,
Georgia,13.5,
Hawaii,9,
Idaho,11,
Illinois,11.4,
Indiana,11.9,
Iowa,11,
Kansas,11.3,
Kentucky,16,
Louisiana,18.8,
Maine,10.9,
Maryland,9.1,
Massachusetts,9.5,
Michigan,12.9,
Minnesota,8.9,
Mississippi,19.5,
Missouri,12.9,
Montana,12.6,
National,12.3,
Nebraska,9.9,
Nevada,12.7,
New Hampshire,7.5,
New Jersey,9.1,
New Mexico,17.5,
New York,13.1,
North Carolina,13.6,
North Dakota,10.5,
Ohio,13,
Oklahoma,15.1,
Oregon,11.5,
Pennsylvania,12,
Rhode Island,11.6,
South Carolina,13.9,
South Dakota,11.9,
Tennessee,13.8,
Texas,13.6,
Utah,8.8,
Vermont,10.1,
Virginia,9.9,
Washington,9.8,
West Virginia,16.2,
Wisconsin,10.4,
Wyoming,9.9,
